L,Cmps,QPS,Recall
1700,80166,22.412,56.41
1400,70122,25.0884,53.64
1100,59038,28.5527,50.81
1000,55080,29.5727,49.78
900,50973,30.9665,48.5
800,46686,32.7826,47.24
700,42186,34.4839,45.91
600,37479,37.3441,44.17
500,32500,37.1802,42.37
400,27207,40.3356,40.05
300,21525,45.3721,37.4
250,18515,48.8711,35.8
200,15372,50.4821,33.81
180,14072,51.7706,32.79
160,12744,53.1717,31.86
140,11390,55.7103,30.59
120,9999,58.2649,29.3
100,8583,60.1214,28.03
90,7864,61.121,27.19
80,7128,61.6485,26.41
70,6375,62.8575,25.45
60,5605,63.4156,24.35
55,5213,64.7585,23.76
50,4821,65.4793,23.02
45,4423,66.1638,22.39
40,4027,66.8673,21.66
35,3616,67.5219,20.78
30,3204,68.4275,19.87
25,2785,69.2521,18.9
20,2348,69.4444,17.56
15,1904,70.9824,15.9
10,1443,72.0929,13.98
