L,Cmps,QPS,Recall
1700,6813,175.193,84.95
1400,6046,187.935,83.59
1100,5187,204.457,81.64
1000,4877,211.595,80.87
900,4549,217.108,79.72
800,4205,225.175,78.6
700,3840,234.907,77.22
600,3451,245.519,75.9
500,3036,257.666,73.74
400,2590,272.702,71.21
300,2090,290.529,68.2
250,1826,301.296,66.32
200,1549,314.762,64.49
180,1429,319.898,63.51
160,1310,324.886,62.66
140,1186,331.126,61.49
120,1047,338.295,60.06
100,917,357.91,58.17
90,848,369.822,56.93
80,779,369.14,55.4
70,705,361.402,53.59
60,628,366.435,51.82
55,590,367.918,50.73
50,550,371.471,49.63
45,509,375.375,48.73
40,467,378.358,47.48
35,425,381.098,46.14
30,379,381.388,44.65
25,335,385.208,42.78
20,288,388.802,40.88
15,238,391.85,38.52
10,185,398.406,35.68
