L,Cmps,QPS,Recall
1700,1202,1589.83,85.01
1400,1143,1757.47,85.01
1100,1065,1964.64,85.01
1000,1032,2173.91,85.01
900,996,2298.85,85.01
800,956,2439.02,85.01
700,910,2604.17,85.01
600,856,2808.99,85.01
500,794,3067.48,85.01
400,720,3424.66,85.01
300,630,4000,85.01
250,577,4464.29,85.01
200,518,5076.14,85.01
180,492,5376.34,85.01
160,465,5780.35,85.01
140,435,6211.18,85.01
120,404,6756.76,85.01
100,369,7518.8,85.04
90,351,7936.51,85.05
80,331,8474.58,85.08
70,310,9174.31,85.12
60,288,9900.99,85.24
55,276,10204.1,85.29
50,264,10869.6,85.44
45,251,11494.3,85.57
40,237,12345.7,85.78
35,222,13157.9,86.09
30,206,14492.8,86.38
25,189,15873,86.91
20,171,17857.1,87.68
15,150,20833.3,88.37
10,126,25641,88.74
