efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9875,93.6446,14.7059,14004.4
1400,0.986,116.629,15.1755,11964.5
1100,0.985,150.247,15.6306,9848.66
1000,0.9845,166.309,15.7892,9115.47
900,0.983,184.836,15.9409,8373.75
800,0.9805,207.073,16.0899,7606.22
700,0.9795,236.682,16.2479,6822.27
600,0.9775,274.771,16.404,6017.27
500,0.975,306.694,16.5065,5203.82
400,0.969,383.421,16.6863,4363.23
300,0.9645,498.21,16.8553,3476.01
250,0.9545,584.607,16.94,3016.22
200,0.9435,707.281,17.0255,2536.72
180,0.942,773.075,17.0605,2342.86
160,0.939,853.92,17.0962,2144.74
140,0.9335,950.372,17.131,1942.77
120,0.922,1078.96,17.1679,1730.73
100,0.905,1252.85,17.2059,1515.58
90,0.8955,1360.7,17.2246,1405.09
80,0.8805,1497.3,17.2445,1290.96
70,0.8655,1661.49,17.2642,1174.87
60,0.8415,1876.28,17.2848,1054.19
55,0.836,2011.04,17.2954,992.805
50,0.8225,2128,17.3036,929.685
45,0.8025,2338.93,17.3163,866.035
40,0.777,2572.01,17.3279,800.225
35,0.7375,2869.4,17.34,730.815
30,0.7,3234.99,17.3519,658.535
25,0.6595,3729.75,17.3642,583.345
20,0.585,4442.08,17.3772,504.49
15,0.4685,5541.53,17.3907,418.84
10,0.3515,7603.75,17.4055,325.225
