L,Cmps,QPS,Recall
1700,985,1111.11,96.25
1400,984,1176.47,96.25
1100,977,1212.12,96.25
1000,972,1212.12,96.25
900,967,1250,96.25
800,962,1250,96.25
700,953,1290.32,96.25
600,935,1379.31,95.75
500,917,1428.57,95.75
400,891,1538.46,95.5
300,832,1739.13,94.5
250,798,1818.18,93.75
200,748,2000,93.25
180,728,2105.26,92.25
160,706,2222.22,91.75
140,688,2222.22,91.5
120,660,2352.94,91.25
100,630,2500,91
90,608,2666.67,91
80,589,2666.67,90.75
70,558,2857.14,90.25
60,531,3076.92,89.25
55,511,3076.92,88.75
50,493,3333.33,88.25
45,476,3333.33,88
40,448,3636.36,86.5
35,420,3636.36,84.75
30,390,4000,83
25,344,4444.44,80.25
20,298,5000,78.25
15,251,5714.29,76.5
10,191,6666.67,74.5
