efSearch,recall@10,qps
1700,0.8605,0.310628
1400,0.8604,0.322274
1100,0.86,0.338003
1000,0.8597,0.344107
900,0.8593,0.353161
800,0.859,0.363445
700,0.8587,0.37251
600,0.8581,0.387958
500,0.8573,0.401839
400,0.8564,0.422826
300,0.8552,0.461015
250,0.8535,0.484713
200,0.8527,0.518445
180,0.852,0.53691
160,0.851,0.553195
140,0.8506,0.58111
120,0.8494,0.61146
100,0.8486,0.653055
90,0.8477,0.681721
80,0.8467,0.708791
70,0.8444,0.74814
60,0.8426,0.795104
55,0.8417,0.820801
50,0.8407,0.855474
45,0.8391,0.894458
40,0.8382,0.955784
35,0.8353,1.00166
30,0.8327,1.07385
25,0.8287,1.20253
20,0.8218,1.34893
15,0.8138,1.60456
10,0.7979,2.18887
