scan_buckets_count,recall@10,qps
1000,0.9323,45.3338
700,0.9141,59.1613
500,0.8927,64.1307
400,0.878,101.361
300,0.8558,126.479
200,0.8234,152.331
150,0.7946,188.523
100,0.751,307.152
70,0.7061,337.524
50,0.661,386.725
30,0.5947,602.922
20,0.5439,858.45
15,0.5089,1425.82
10,0.4613,2045.7
