efSearch,recall@10,qps
1700,0.8955,0.397815
1400,0.8946,0.415378
1100,0.8946,0.446575
1000,0.8944,0.453073
900,0.8941,0.470311
800,0.894,0.490988
700,0.8936,0.506812
600,0.8931,0.533244
500,0.8923,0.566362
400,0.8907,0.616231
300,0.8898,0.685976
250,0.8889,0.730886
200,0.8871,0.800597
180,0.8864,0.843047
160,0.8853,0.875284
140,0.8844,0.93727
120,0.8831,1.00502
100,0.8819,1.09174
90,0.8805,1.16641
80,0.8793,1.23744
70,0.8777,1.33357
60,0.8759,1.45714
55,0.8741,1.52149
50,0.8736,1.5906
45,0.872,1.68158
40,0.8697,1.80495
35,0.868,1.91194
30,0.8647,2.15302
25,0.8602,2.43306
20,0.8514,2.76665
15,0.8407,3.4476
10,0.8225,4.90211
