scan_buckets_count,recall@10,qps
1000,0.8425,39.6916
700,0.7848,48.131
500,0.7184,79.1048
400,0.6765,99.3631
300,0.6127,126.415
200,0.5286,138.023
150,0.4635,223.314
100,0.3822,309.104
70,0.3138,303.248
50,0.2588,387.646
30,0.1882,601.09
20,0.1516,910.559
15,0.1281,1444
10,0.0996,1731.03
