scan_buckets_count,recall@10,qps
1000,1,3.59966
700,1,3.60702
500,1,4.0003
400,0.9995,3.81062
300,0.9975,4.21575
200,0.9965,5.21797
150,0.9955,5.44464
100,0.9935,5.94068
70,0.9905,9.02981
50,0.985,9.08099
30,0.97,13.8743
20,0.9515,18.4994
15,0.9355,22.4145
10,0.854,29.4707
