efSearch,recall@10,qps
1700,0.9994,5.01297
1400,0.9994,5.01078
1100,0.9994,5.42035
1000,0.9994,5.50972
900,0.9993,5.63367
800,0.9993,5.93723
700,0.9993,6.20579
600,0.9992,6.54898
500,0.9992,7.0847
400,0.999,7.92773
300,0.9987,9.18519
250,0.9983,10.1149
200,0.9978,11.4135
180,0.9972,10.778
160,0.9969,11.4596
140,0.9964,12.2561
120,0.9958,13.246
100,0.9943,14.5383
90,0.9929,15.3079
80,0.9921,16.2172
70,0.9901,17.2551
60,0.9877,18.5735
55,0.9867,19.2928
50,0.9851,22.8415
45,0.983,24.1973
40,0.98,25.5442
35,0.976,27.3569
30,0.9712,29.4179
25,0.9647,32.5095
20,0.9545,37.2845
15,0.938,46.2251
10,0.9036,68.0045
