efSearch,recall@10,qps
1700,0.542,1.72979
1400,0.542,1.75157
1100,0.5415,2.00503
1000,0.5415,2.10492
900,0.5415,1.74966
800,0.541,1.80727
700,0.541,1.82565
600,0.5395,2.03276
500,0.539,2.04888
400,0.539,2.06988
300,0.537,2.38342
250,0.533,2.6287
200,0.531,2.74693
180,0.5295,2.85862
160,0.5275,3.10059
140,0.5245,3.20988
120,0.522,3.48086
100,0.517,3.90849
90,0.5155,4.07329
80,0.5115,4.26332
70,0.509,4.64161
60,0.505,5.08857
55,0.4985,5.39521
50,0.496,5.69048
45,0.4915,6.02722
40,0.488,6.47555
35,0.4845,7.12882
30,0.4785,7.75266
25,0.4715,8.74439
20,0.454,10.2586
15,0.4385,12.5388
10,0.42,16.5799
