scan_buckets_count,recall@10,qps
1000,0.9842,9.72409
700,0.9754,13.136
500,0.9635,20.5051
400,0.9557,24.4931
300,0.9399,33.017
200,0.9116,47.6252
150,0.8848,61.6735
100,0.8381,88.7752
70,0.7893,122.948
50,0.7345,167.287
30,0.6464,265.857
20,0.5714,386.594
15,0.516,503.564
10,0.4333,722.906
