scan_buckets_count,recall@10,qps
1000,0.9984,18.5397
700,0.9977,25.5344
500,0.9967,34.7321
400,0.996,42.6946
300,0.9942,55.7211
200,0.99,81.1799
150,0.987,106.226
100,0.9793,154.478
70,0.9684,213.978
50,0.9553,290.284
30,0.9244,457.614
20,0.8916,658.437
15,0.8554,846.92
10,0.8079,1198.95
