efSearch,recall@10,qps
1700,0.9521,2.25656
1400,0.9509,2.49653
1100,0.9495,2.84778
1000,0.949,3.02878
900,0.9485,3.20286
800,0.9468,3.36241
700,0.9459,3.72634
600,0.9446,4.09663
500,0.9427,4.52708
400,0.94,5.26209
300,0.9363,6.39003
250,0.9339,7.33474
200,0.9302,8.82159
180,0.9293,9.61055
160,0.928,10.8062
140,0.9256,12.1313
120,0.9232,13.6394
100,0.9197,16.5156
90,0.9188,18.1676
80,0.9164,20.2771
70,0.9144,23.0131
60,0.9118,26.6011
55,0.9079,29.0955
50,0.9056,31.9919
45,0.9023,35.1844
40,0.8992,40.1811
35,0.8941,44.9544
30,0.8893,52.3773
25,0.8848,62.1277
20,0.8774,75.7241
15,0.8636,99.2024
10,0.831,140.374
