scan_buckets_count,recall@10,qps
1000,0.99935,46.2442
700,0.99917,63.3957
500,0.99856,85.0155
400,0.99773,102.297
300,0.99584,130.403
200,0.99029,189.601
150,0.9831,245.127
100,0.96651,356.203
70,0.94396,487.661
50,0.91483,652.781
30,0.85414,1012.48
20,0.78948,1419.22
15,0.73832,1809.23
10,0.65753,2527.25
