efSearch,recall@10,qps
1700,0.9995,4.34678
1400,0.9995,4.35736
1100,0.9995,4.71175
1000,0.9995,4.81086
900,0.9995,4.95233
800,0.9994,5.19227
700,0.9993,5.41054
600,0.9992,5.72233
500,0.9992,6.10771
400,0.999,6.62819
300,0.9986,7.39611
250,0.9983,7.95138
200,0.9976,8.48202
180,0.9971,8.21254
160,0.9969,8.63983
140,0.9963,9.15416
120,0.9954,9.8025
100,0.9946,10.7099
90,0.994,11.2549
80,0.9931,11.8907
70,0.9917,12.6576
60,0.9907,13.6474
55,0.9897,14.8177
50,0.9882,17.0697
45,0.9866,18.0129
40,0.984,19.1907
35,0.9805,20.6194
30,0.9759,22.4749
25,0.9679,24.8725
20,0.9571,27.9155
15,0.9397,32.4984
10,0.9096,42.7784
