scan_buckets_count,recall@10,qps
1000,0.9979,8.55378
700,0.9947,11.0244
500,0.9902,13.7565
400,0.9849,16.3778
300,0.974,20.4242
200,0.9488,27.5759
150,0.9228,36.6037
100,0.8738,52.1808
70,0.8224,71.9908
50,0.761,95.8488
30,0.6584,153.164
20,0.5736,222.2
15,0.5122,289.696
10,0.4216,420.92
