efSearch,recall@10,qps
1700,0.6175,4.35312
1400,0.6125,4.49533
1100,0.5965,5.95365
1000,0.596,6.23824
900,0.5935,5.28836
800,0.588,5.55865
700,0.575,6.88083
600,0.5685,6.47485
500,0.5645,8.01609
400,0.554,7.5253
300,0.541,8.98705
250,0.534,10.2908
200,0.523,11.0384
180,0.5145,12.059
160,0.5075,12.8609
140,0.5045,13.3117
120,0.49,14.5231
100,0.474,16.701
90,0.4675,17.1312
80,0.461,18.3754
70,0.445,19.9347
60,0.4365,21.7913
55,0.43,23.0899
50,0.425,24.5128
45,0.42,25.9171
40,0.4155,28.3632
35,0.4065,30.3012
30,0.3955,34.1408
25,0.3715,38.7644
20,0.353,45.8178
15,0.3335,55.1879
10,0.298,75.8648
