scan_buckets_count,recall@10,qps
1000,0.99386,47.5755
700,0.98958,65.417
500,0.98265,89.2653
400,0.9761,108.007
300,0.96536,136.436
200,0.94246,194.396
150,0.91963,255.296
100,0.87912,371.192
70,0.83456,507.614
50,0.78494,680.241
30,0.69716,1053.25
20,0.62005,1486.45
15,0.56352,1892.04
10,0.4815,2641.28
