efSearch,recall@10,qps
10,0.9176,0.663862
15,0.9412,0.534385
20,0.9557,0.461003
25,0.9627,0.422562
30,0.9684,0.395502
35,0.9724,0.377546
40,0.9757,0.35815
45,0.9783,0.345917
50,0.9801,0.336061
55,0.982,0.327105
60,0.9838,0.321692
70,0.9866,0.307551
80,0.9884,0.295719
90,0.9908,0.286764
100,0.9915,0.278796
120,0.9925,0.26756
140,0.9937,0.257482
160,0.9939,0.2507
180,0.995,0.243474
200,0.9958,0.238651
250,0.997,0.228115
300,0.9977,0.219367
400,0.9983,0.207506
500,0.9985,0.197985
600,0.9986,0.191101
700,0.9987,0.186041
800,0.999,0.181246
900,0.9991,0.178108
1000,0.9993,0.173903
1100,0.9993,0.174496
1400,0.9993,0.173794
1700,0.9993,0.174137
