efSearch,recall@10,qps
10,0.9933,0.189714
15,0.9976,0.155986
20,0.9995,0.138225
25,0.9996,0.128694
30,0.9997,0.123173
35,0.9998,0.119981
40,0.9998,0.117191
45,0.9999,0.115534
50,0.9999,0.114489
55,0.9999,0.113566
60,0.9999,0.1129
70,0.9999,0.111857
80,0.9999,0.111198
90,0.9999,0.110639
100,0.9999,0.110518
120,0.9999,0.110002
140,0.9999,0.110118
160,0.9999,0.110077
180,0.9999,0.109758
200,0.9999,0.109754
250,0.9999,0.109552
300,0.9999,0.109799
400,0.9999,0.109678
500,0.9999,0.109688
600,0.9999,0.109723
700,0.9999,0.109645
800,0.9999,0.10972
900,0.9999,0.109641
1000,0.9999,0.109813
1100,0.9999,0.109906
1400,0.9999,0.109581
1700,0.9999,0.10972
