efSearch,recall@10,qps
1700,0.99995,3.98531
1400,0.99995,3.86377
1100,0.99995,3.8168
1000,0.99995,3.83248
900,0.99992,4.20558
800,0.99994,4.54718
700,0.99996,4.96434
600,0.99995,5.31936
500,0.99996,5.99323
400,0.99994,6.21628
300,0.99991,7.72152
250,0.99995,8.6206
200,0.99992,9.80926
180,0.99986,10.2116
160,0.99984,11.0681
140,0.9998,12.0484
120,0.9997,13.2231
100,0.99957,14.7952
90,0.99946,15.85
80,0.99936,15.956
70,0.99909,17.8521
60,0.99887,20.65
55,0.99851,21.6107
50,0.99829,23.0681
45,0.9978,24.8052
40,0.99732,27.667
35,0.99656,30.5273
30,0.99516,33.9671
25,0.99316,36.8777
20,0.9899,46.3324
15,0.98356,57.0478
10,0.96819,79.2055
