scan_buckets_count,recall@10,qps
1000,0.9991,8.44609
700,0.9988,10.48
500,0.9975,13.4685
400,0.9964,15.8801
300,0.9943,19.9584
200,0.9847,27.9622
150,0.9741,35.7754
100,0.9497,51.1363
70,0.9156,60.3115
50,0.8722,93.8623
30,0.7899,149.892
20,0.7144,216.82
15,0.654,283.774
10,0.5576,411.959
