scan_buckets_count,recall@10,qps
1000,0.9915,9.68761
700,0.9852,13.1065
500,0.9766,17.9021
400,0.9706,25.4537
300,0.9565,31.4374
200,0.9344,47.3473
150,0.9142,61.3543
100,0.8755,88.7036
70,0.8364,122.782
50,0.7931,166.857
30,0.725,265.266
20,0.6571,386.001
15,0.6093,500.987
10,0.5356,731.189
