efSearch,recall@10,qps
10,0.8471,84.7147
15,0.8811,65.7031
20,0.9008,54.5608
25,0.9131,48.7393
30,0.9228,43.4079
35,0.928,40.5691
40,0.9332,36.6663
45,0.9373,35.0798
50,0.9405,32.0595
55,0.9444,31.0073
60,0.9475,29.2113
70,0.9522,26.8032
80,0.9565,24.7479
90,0.9595,23.06
100,0.9619,21.6315
120,0.9665,19.4373
140,0.969,17.6355
160,0.9709,16.1956
180,0.9731,15.0674
200,0.9747,14.0592
250,0.9782,12.1956
300,0.9813,10.853
400,0.9842,9.04314
500,0.9864,7.84676
600,0.9881,6.97079
700,0.9896,6.32811
800,0.9909,5.79867
900,0.9921,5.35725
1000,0.9925,5.02637
1100,0.9925,5.03606
1400,0.9925,5.01791
1700,0.9925,5.01359
