efSearch,recall@10,qps
1700,0.9515,88.0438
1400,0.9516,87.2116
1100,0.9512,130.814
1000,0.9509,140.26
900,0.9505,154.703
800,0.9504,172.559
700,0.9502,193.418
600,0.95,220.057
500,0.9493,257.102
400,0.9489,313.38
300,0.9478,406.335
250,0.9473,475.062
200,0.9456,574.486
180,0.945,629.209
160,0.9443,693.754
140,0.9431,773.329
120,0.9415,882.395
100,0.9389,1024.4
90,0.9371,1113.69
80,0.9357,1227.79
70,0.933,1363.9
60,0.9289,1518.33
55,0.9278,1622.14
50,0.9242,1748.43
45,0.9203,1891.36
40,0.9149,2078.29
35,0.9102,2277.47
30,0.902,2546.69
25,0.8911,2885.1
20,0.8715,3351.69
15,0.841,4063.6
10,0.7964,5221.6
