efSearch,recall@10,qps
1700,0.9925,4.35816
1400,0.9918,4.87256
1100,0.9906,5.12488
1000,0.9899,5.10035
900,0.9894,5.58018
800,0.9885,6.24298
700,0.9869,6.71402
600,0.9848,7.21487
500,0.9821,7.96461
400,0.9785,8.08361
300,0.9739,10.3307
250,0.9691,11.584
200,0.9642,13.2079
180,0.9622,14.1238
160,0.9583,14.7022
140,0.9519,16.1223
120,0.9451,17.5956
100,0.9356,19.859
90,0.9292,21.1501
80,0.9205,22.7461
70,0.9124,24.8948
60,0.9005,27.6111
55,0.8945,29.1327
50,0.8857,31.1311
45,0.8771,33.5301
40,0.8671,36.6507
35,0.8548,40.3146
30,0.841,44.7544
25,0.8216,51.7175
20,0.7933,62.215
15,0.7525,77.968
10,0.6967,107.721
