efSearch,recall@10,qps
1700,0.9842,63.2007
1400,0.9812,70.9525
1100,0.977,88.761
1000,0.975,94.0276
900,0.9733,102.121
800,0.9703,113.516
700,0.9652,125.75
600,0.9592,143.572
500,0.9527,169.356
400,0.942,202.582
300,0.927,255.054
250,0.9127,300.534
200,0.8962,365.419
180,0.8878,400.037
160,0.8774,442.819
140,0.8626,490.175
120,0.8465,571.908
100,0.8247,648.907
90,0.8096,706.892
80,0.7942,777.049
70,0.7755,864.995
60,0.7526,981.996
55,0.7427,1049.2
50,0.7262,1135.15
45,0.7083,1237.47
40,0.6898,1353.9
35,0.67,1499.95
30,0.6432,1685.63
25,0.6105,1925.26
20,0.5695,2267.03
15,0.5135,2773.74
10,0.4437,3631.15
