scan_buckets_count,recall@10,qps
1000,1,3.44809
700,0.9995,3.15349
500,0.9965,4.00031
400,0.9965,4.17529
300,0.9955,4.55037
200,0.9955,5.0724
150,0.9945,5.20402
100,0.9885,6.57642
70,0.984,7.30271
50,0.976,11.3995
30,0.964,13.8726
20,0.955,18.5191
15,0.9345,22.4141
10,0.8865,29.505
