efSearch,recall@10,qps
1700,0.9977,1.20692
1400,0.9975,1.27444
1100,0.9974,1.31859
1000,0.9974,1.34507
900,0.9976,1.39167
800,0.9972,1.41186
700,0.9976,1.46333
600,0.9975,1.51638
500,0.9973,1.58723
400,0.9973,1.69548
300,0.9969,1.88168
250,0.9969,1.99598
200,0.9966,2.13781
180,0.9962,2.23385
160,0.997,2.33233
140,0.9965,2.42974
120,0.9966,2.65208
100,0.9961,2.86057
90,0.9957,3.00304
80,0.996,3.16163
70,0.9963,3.36486
60,0.9959,3.59233
55,0.9962,3.74141
50,0.9957,3.91428
45,0.9959,4.12964
40,0.9957,4.35142
35,0.9955,4.6317
30,0.9955,4.99951
25,0.9958,5.5243
20,0.995,6.26694
15,0.9934,7.48974
10,0.9874,9.98327
