scan_buckets_count,recall@10,qps
1000,0.3464,2.63495
700,0.2605,3.63862
500,0.2005,4.96007
400,0.1669,6.12138
300,0.1353,8.02566
200,0.0967,11.8016
150,0.0757,15.5398
100,0.0557,22.9526
70,0.0413,32.2315
50,0.0319,44.4081
30,0.0213,71.4777
20,0.0159,102.815
15,0.0127,134.757
10,0.0079,195.349
