efSearch,recall@10,qps
1700,0.9957,1.72069
1400,0.9955,1.93185
1100,0.9953,2.12369
1000,0.9957,2.16755
900,0.9958,2.27913
800,0.9953,2.36872
700,0.9959,2.42845
600,0.996,2.5911
500,0.9948,2.7401
400,0.9946,2.99731
300,0.9939,3.32395
250,0.9942,3.6027
200,0.9938,3.90565
180,0.994,4.03106
160,0.9942,4.27139
140,0.9942,4.43585
120,0.9944,4.73812
100,0.9928,5.05018
90,0.9938,5.24938
80,0.993,5.4588
70,0.994,5.68557
60,0.9933,5.95514
55,0.9935,6.13535
50,0.9933,6.34344
45,0.9937,6.53779
40,0.993,6.78016
35,0.993,7.18114
30,0.9932,7.45141
25,0.9928,8.13817
20,0.9914,9.38748
15,0.99,11.6939
10,0.9839,18.1269
