scan_buckets_count,recall@10,qps
1000,0.9952,5.14417
700,0.9946,6.62273
500,0.9938,10.4665
400,0.9931,12.3364
300,0.992,15.112
200,0.9901,19.9235
150,0.9876,24.2277
100,0.9737,35.4432
70,0.9581,51.9159
50,0.9381,71.7231
30,0.896,127.327
20,0.8576,181.846
15,0.8197,227.424
10,0.7524,319.942
