efSearch,recall@10,qps
1700,0.99951,222.18
1400,0.99951,190.8
1100,0.99951,215.479
1000,0.99951,216.023
900,0.99937,244.699
800,0.99938,251.141
700,0.99939,313.078
600,0.99918,357.84
500,0.99899,428.121
400,0.99896,514.313
300,0.99833,648.604
250,0.9976,773.152
200,0.99643,929.224
180,0.99549,817.635
160,0.99444,1106.63
140,0.99294,1247.71
120,0.99056,1419.09
100,0.98719,1652.87
90,0.98432,1802.88
80,0.98069,1608.42
70,0.9762,2220.03
60,0.96955,2466.23
55,0.9657,2650.92
50,0.96034,2850.38
45,0.95374,3102.79
40,0.94514,3491.93
35,0.93419,3881.98
30,0.92015,4335.58
25,0.90017,5060.72
20,0.87149,5864.06
15,0.82851,7167.77
10,0.75574,9420.9
