scan_buckets_count,recall@10,qps
1000,0.9737,6.54442
700,0.9676,7.99275
500,0.9611,9.18973
400,0.9564,12.4946
300,0.9505,15.3631
200,0.9395,20.1729
150,0.9271,24.5313
100,0.8796,35.8041
70,0.8126,52.5725
50,0.7558,72.5507
30,0.6637,128.685
20,0.6037,183.904
15,0.5612,230.74
10,0.501,323.181
