scan_buckets_count,recall@10,qps
1000,0.885,19.3131
700,0.8458,26.6054
500,0.8135,36.1523
400,0.7886,44.5214
300,0.7492,57.9987
200,0.697,84.5864
150,0.6533,110.531
100,0.5995,160.921
70,0.5516,223.132
50,0.5047,302.932
30,0.4328,478.52
20,0.3756,684.542
15,0.3343,877.729
10,0.2783,1237.3
