scan_buckets_count,recall@10,qps
1000,0.9422,19.1695
700,0.9237,26.3963
500,0.905,35.918
400,0.888,44.1887
300,0.8677,57.7535
200,0.8373,83.9158
150,0.8109,109.657
100,0.7695,159.647
70,0.7332,221.434
50,0.6939,301.127
30,0.6293,475.253
20,0.5716,680.601
15,0.5305,875.571
10,0.47,1235.76
