scan_buckets_count,recall@10,qps
1000,0.7421,2.58748
700,0.6649,3.6404
500,0.605,4.9558
400,0.5645,6.10863
300,0.514,8.03347
200,0.4423,11.794
150,0.4032,15.5703
100,0.3496,22.8989
70,0.3045,32.1265
50,0.2661,44.2715
30,0.2142,71.2874
20,0.1762,103.154
15,0.151,134.225
10,0.1247,195.328
