scan_buckets_count,recall@10,qps
1000,0.979,2.59503
700,0.9697,3.58203
500,0.9554,4.87154
400,0.9461,6.01203
300,0.9315,7.89003
200,0.9054,11.6189
150,0.883,15.2686
100,0.8464,22.5158
70,0.8086,31.7654
50,0.7661,43.4685
30,0.7012,70.2225
20,0.6434,101.554
15,0.5931,132.165
10,0.5286,192.01
