scan_buckets_count,recall@10,qps
1000,0.98442,48.2424
700,0.9738,66.4279
500,0.95855,90.7197
400,0.94513,109.664
300,0.92335,138.424
200,0.88353,198.923
150,0.84817,259.464
100,0.78879,378.209
70,0.72901,519.129
50,0.66619,694.26
30,0.56692,1076.25
20,0.4866,1509.91
15,0.43004,1922.44
10,0.35671,2690.12
