efSearch,recall@10,qps
1700,0.9999,10.4955
1400,0.9999,11.5579
1100,0.9999,11.5656
1000,0.9999,11.599
900,0.9998,12.7929
800,0.9998,13.9739
700,0.9996,15.3723
600,0.9996,17.3384
500,0.9993,19.9725
400,0.9989,23.7869
300,0.9982,30.0453
250,0.9982,34.8765
200,0.9977,36.642
180,0.9974,39.8347
160,0.9965,43.7646
140,0.9963,48.732
120,0.9956,55.2469
100,0.9945,64.1484
90,0.9931,69.7506
80,0.9912,76.6993
70,0.9889,85.5604
60,0.9859,96.9051
55,0.985,120.596
50,0.9826,131.523
45,0.9808,143.126
40,0.9775,157.742
35,0.9726,176.372
30,0.9673,200.567
25,0.9595,234.498
20,0.9462,283.073
15,0.9237,360.716
10,0.8865,507.565
