efSearch,recall@10,qps
1700,0.9922,2.1719
1400,0.9918,2.31787
1100,0.9913,2.7318
1000,0.991,2.73623
900,0.9906,2.83071
800,0.9904,3.11482
700,0.9895,3.27834
600,0.9889,3.48251
500,0.9882,3.69627
400,0.9868,4.07503
300,0.9852,4.78035
250,0.983,5.16831
200,0.9801,6.04446
180,0.9787,6.40273
160,0.9767,6.7859
140,0.9739,7.28463
120,0.9709,7.73954
100,0.9674,8.71451
90,0.9637,9.23171
80,0.9607,9.86506
70,0.9559,10.6523
60,0.9504,11.676
55,0.9451,12.3022
50,0.9414,13.0384
45,0.9367,13.933
40,0.9307,15.0051
35,0.9227,16.3394
30,0.912,18.0718
25,0.8993,20.2406
20,0.8799,23.5151
15,0.8539,28.19
10,0.8045,37.8385
