efSearch,recall@10,qps
1700,0.9549,2.09514
1400,0.955,2.5819
1100,0.9548,2.75128
1000,0.9547,2.87522
900,0.9546,2.97253
800,0.9546,3.10283
700,0.9545,3.21343
600,0.9546,3.43511
500,0.9542,3.65128
400,0.954,3.94096
300,0.9536,4.41333
250,0.9535,4.77942
200,0.9534,5.19579
180,0.9529,5.39868
160,0.9527,5.64303
140,0.9524,5.92886
120,0.952,6.28771
100,0.9512,6.73118
90,0.9506,7.01478
80,0.9499,7.34534
70,0.9487,7.73145
60,0.9479,8.22553
55,0.9474,8.46481
50,0.9465,8.80682
45,0.946,9.23065
40,0.9441,9.73791
35,0.9424,10.335
30,0.941,11.0948
25,0.938,12.1159
20,0.9315,13.5639
15,0.9224,16.213
10,0.9044,21.9877
