scan_buckets_count,recall@10,qps
1000,1,3.60736
700,0.9995,3.37409
500,0.9995,3.33
400,0.9995,4.37121
300,0.9995,4.4683
200,0.999,5.45421
150,0.9965,5.33031
100,0.9895,6.26899
70,0.982,8.24602
50,0.962,10.696
30,0.929,13.9143
20,0.89,18.5416
15,0.8405,22.4904
10,0.7205,29.5368
