scan_buckets_count,recall@10,qps
1000,0.9902,8.65088
700,0.9826,10.7256
500,0.9707,13.9011
400,0.9596,16.3738
300,0.9412,20.6194
200,0.902,28.9153
150,0.865,36.946
100,0.8001,52.7709
70,0.7333,72.5249
50,0.6661,96.8592
30,0.5624,154.499
20,0.4705,223.9
15,0.4106,292.955
10,0.328,424.445
