L,Cmps,QPS,Recall
1700,4339,632.911,95.95
1400,4108,865.801,95.5
1100,3800,1015.23,94.6
1000,3673,1086.96,94.1
900,3532,1149.43,93.8
800,3366,1250,93.3
700,3186,1369.86,92.6
600,2977,1515.15,91.6
500,2751,1680.67,90.85
400,2473,1941.75,89.55
300,2143,2325.58,88.05
250,1942,2564.1,86.95
200,1724,2898.55,85.95
180,1628,3076.92,85.2
160,1513,3278.69,84.3
140,1397,3508.77,83.45
120,1269,3773.58,82.9
100,1127,4166.67,81.8
90,1050,4444.44,81.05
80,969,4651.16,80.5
70,886,5000,80.1
60,800,5263.16,79.4
55,752,5555.56,78.65
50,706,5714.29,78
45,656,6060.61,77.1
40,605,6250,76.3
35,551,6666.67,74.35
30,502,6666.67,73.25
25,442,7407.41,71.3
20,383,8000,68.65
15,317,8695.65,64.05
10,249,9523.81,59.55
