efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9315,66.8922,23.9788,8260.29
1400,0.927,81.2763,25.6031,7267.48
1100,0.9205,102.365,27.38,6195.14
1000,0.919,111.942,28.0212,5811.36
900,0.9145,123.289,28.682,5413.64
800,0.91,137.783,29.4015,4995.22
700,0.908,154.853,30.1098,4557.02
600,0.903,177.891,30.8876,4101.52
500,0.894,209.006,31.7072,3612.6
400,0.8855,254.528,32.5914,3086.82
300,0.8715,325.599,33.5286,2521.14
250,0.859,380.857,34.0371,2211.12
200,0.8435,461.944,34.5796,1881.31
180,0.8355,505.745,34.8052,1743.59
160,0.8245,558.695,35.0337,1599.44
140,0.81,627.74,35.277,1447.53
120,0.7975,715.888,35.5228,1291.59
100,0.7765,837.222,35.7801,1126.98
90,0.766,898.173,35.8842,1040.34
80,0.752,1013.1,36.0476,954.785
70,0.733,1133.9,36.1847,862.81
60,0.7145,1287.49,36.323,769.23
55,0.6985,1384.54,36.395,721.22
50,0.68,1497.87,36.4675,671.13
45,0.661,1641.35,36.5453,620.22
40,0.64,1817.12,36.6242,568.46
35,0.6085,2031.28,36.7022,514.525
30,0.5725,2302.69,36.7805,458.945
25,0.524,2683.38,36.864,400.84
20,0.482,3244.33,36.9518,340.325
15,0.3965,4084.87,37.0386,279.1
10,0.2825,5711.31,37.1345,213.11
