L,Cmps,QPS,Recall
1700,74494,35.2423,88.45
1400,64471,41.2201,86.25
1100,53902,49.7636,84.7
1000,50156,53.5045,83.9
900,46303,58.2072,83.35
800,42281,63.857,82.4
700,38108,70.922,81.3
600,33614,80.1603,79.8
500,29046,92.2935,78.25
400,24263,109.89,76.65
300,19000,138.313,72.85
250,16333,159.109,71.25
200,13528,187.793,67.85
180,12343,204.918,66.4
160,11143,224.467,64.5
140,10003,245.7,62.95
120,8769,274.725,61.55
100,7548,312.989,59.5
90,6892,337.838,57.7
80,6258,365.631,56.45
70,5589,400,54.4
60,4876,440.529,52.3
55,4548,469.484,51.35
50,4194,498.753,50.1
45,3847,531.915,48.9
40,3507,569.801,47.2
35,3156,613.497,45.3
30,2812,662.252,43.75
25,2432,735.294,40.5
20,2063,819.672,37.9
15,1694,921.659,35.2
10,1285,1047.12,29.75
