L,Cmps,QPS,Recall
1700,35620,134.862,80.65
1400,31155,161.812,79.4
1100,26204,200.401,76.75
1000,24490,216.685,76
900,22667,236.686,74.8
800,20889,262.812,73.75
700,19057,291.545,72.6
600,17018,333.89,70.4
500,14882,389.105,68.35
400,12598,464.037,64.85
300,10151,586.51,61.15
250,8861,687.285,58.75
200,7501,806.452,56.4
180,6938,869.565,54.85
160,6357,952.381,53.25
140,5783,1047.12,51.9
120,5184,1176.47,50.85
100,4542,1315.79,48.85
90,4224,1408.45,47.8
80,3910,1515.15,46.75
70,3555,1652.89,45.65
60,3216,1801.8,44.9
55,3029,1904.76,43.4
50,2844,2000,42.55
45,2665,2127.66,40.95
40,2465,2247.19,40.4
35,2280,2409.64,39.2
30,2051,2597.4,37.3
25,1826,2816.9,34.65
20,1585,3125,31.5
15,1355,3508.77,30.2
10,1050,4081.63,24.6
