efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.995,96.9464,5.11302,11691.4
1400,0.995,121.364,5.16785,10060.2
1100,0.9935,158.624,5.22007,8327.08
1000,0.9885,177.004,5.23797,7735.79
900,0.988,197.302,5.25396,7124.65
800,0.988,222.239,5.26971,6499.7
700,0.988,252.936,5.28491,5855.26
600,0.9765,295.753,5.30095,5188.51
500,0.969,349.708,5.31565,4507.02
400,0.9585,432.706,5.33119,3794.57
300,0.95,566.725,5.34677,3037.22
250,0.948,670.327,5.35458,2635.32
200,0.936,816.887,5.36226,2221.36
180,0.9335,899.482,5.3655,2052.99
160,0.9295,1005.36,5.36887,1877.93
140,0.9265,1124.79,5.37192,1698.12
120,0.9195,1282.7,5.37508,1511.8
100,0.913,1500.77,5.37835,1322.86
90,0.9035,1635.18,5.37994,1226.87
80,0.898,1792.32,5.38149,1128.3
70,0.883,2014.08,5.38327,1023.64
60,0.866,2288.15,5.38499,919.5
55,0.867,2462.54,5.38589,864.88
50,0.86,2664.67,5.38678,810.38
45,0.84,2896.08,5.38765,752.505
40,0.8205,3173.34,5.38853,694.935
35,0.7885,3571.5,5.38955,635.04
30,0.7595,4048.09,5.39051,570.77
25,0.722,4691.43,5.39149,505.785
20,0.663,5603.84,5.3925,436.72
15,0.5765,7097.5,5.39359,364.09
10,0.4055,9822.27,5.39473,283.445
