nprobe,recall,qps
1,0.1385,66.4
2,0.2995,71.4
3,0.5085,73.2
5,0.8010,72.2
10,0.9715,77.0
20,0.9850,76.7
30,0.9890,75.2
50,0.9955,69.4
100,0.9985,69.0
200,0.9995,69.4
500,0.9995,69.1
1000,0.9995,66.6
