ef,recall,qps
2000,0.9820,41.3
1900,0.9820,43.3
1800,0.9825,43.5
1700,0.9820,45.4
1600,0.9810,48.5
1500,0.9810,43.6
1400,0.9815,45.8
1300,0.9815,51.4
1200,0.9810,46.5
1100,0.9785,44.7
1000,0.9790,44.5
900,0.9785,48.4
800,0.9775,51.6
700,0.9770,53.0
600,0.9770,56.7
500,0.9770,56.7
400,0.9775,56.6
300,0.9755,57.7
250,0.9755,58.0
200,0.9735,58.5
180,0.9730,59.8
160,0.9725,71.7
140,0.9725,65.6
120,0.9705,67.9
100,0.9700,72.9
90,0.9705,60.2
80,0.9685,60.7
70,0.9665,60.3
60,0.9660,60.5
55,0.9655,46.2
50,0.9650,40.3
45,0.9640,40.7
40,0.9630,40.0
35,0.9635,39.5
30,0.9625,39.7
25,0.9605,39.1
20,0.9580,39.4
15,0.9570,40.3
10,0.9535,41.5
