L,Cmps,QPS,Recall
1700,11548,159.363,99.6
1400,10616,178.891,99.55
1100,9500,196.85,99.4
1000,9079,206.186,99.3
900,8615,221.239,99.15
800,8112,236.686,99
700,7564,256.739,98.85
600,6964,280.899,98.6
500,6276,316.957,98
400,5503,365.631,97.25
300,4611,441.501,96.5
250,4102,498.753,95.7
200,3537,581.395,94.55
180,3271,621.118,93.1
160,3014,684.932,92.1
140,2730,754.717,90.5
120,2444,843.882,89.05
100,2134,966.184,86.55
90,1967,1047.12,84.95
80,1807,1136.36,83.45
70,1630,1250,81.4
60,1447,1398.6,79.1
55,1358,1481.48,77.85
50,1269,1587.3,76.25
45,1172,1709.4,74.4
40,1073,1851.85,72.3
35,965,2040.82,69.7
30,867,2247.19,67.55
25,757,2531.65,63.8
20,649,2898.55,59.75
15,526,3508.77,54.2
10,395,4545.45,46.25
