L,Cmps,QPS,Recall
1700,84663,26.0566,37.36
1400,74400,27.1503,35.26
1100,63117,28.9343,33.04
1000,59046,30.7172,32
900,54844,32.8084,31.03
800,50493,35.2435,29.88
700,45859,38.1228,28.41
600,40990,41.6268,26.96
500,35909,46.0299,25.68
400,30455,51.8699,23.94
300,24539,59.7336,21.7
250,21371,65.4193,20.24
200,18007,72.6164,18.7
180,16627,75.7691,18.23
160,15189,79.5988,17.56
140,13721,83.9419,16.8
120,12190,89.5496,16.17
100,10589,95.4745,15.21
90,9756,98.8338,14.73
80,8911,102.828,14.14
70,8045,107.204,13.69
60,7145,111.657,13.05
55,6682,114.534,12.76
50,6214,117.316,12.37
45,5739,120.409,11.95
40,5246,123.671,11.46
35,4742,127.146,10.79
30,4237,130.77,10.31
25,3695,135.062,9.65
20,3149,139.509,8.88
15,2578,144.676,7.95
10,1965,150.784,6.64
