L,Cmps,QPS,Recall
1700,5177,341.647,86.69
1400,4594,377.074,85.22
1100,3917,423.549,83.41
1000,3689,443.459,82.75
900,3429,464.468,82.1
800,3179,491.159,81.37
700,2917,518.672,80.28
600,2636,549.753,79.12
500,2322,595.238,77.74
400,1994,648.508,76.01
300,1641,713.267,73.46
250,1451,753.58,71.7
200,1239,807.102,69.69
180,1155,828.5,68.66
160,1062,850.34,67.27
140,969,885.74,65.93
120,871,914.913,64.35
100,768,948.767,62.43
90,715,971.817,61.3
80,660,991.08,60.28
70,604,1009.08,58.98
60,545,1038.42,57.42
55,511,1051.52,56.61
50,479,1062.7,55.61
45,447,1077.59,54.86
40,413,1091.7,53.65
35,375,1113.59,52.48
30,340,1131.22,50.96
25,303,1152.07,49.51
20,260,1176.47,47.71
15,217,1203.37,45.62
10,171,1226.99,42.45
