L,Cmps,QPS,Recall
1700,2005,912.409,24.02
1400,1862,1024.59,24.92
1100,1689,1180.64,26.1
1000,1625,1246.88,26.78
900,1550,1326.26,27.44
800,1475,1428.57,28.12
700,1393,1540.83,28.85
600,1299,1689.19,29.89
500,1189,1897.53,31.19
400,1070,2169.2,32.79
300,930,2583.98,35.17
250,851,2898.55,36.75
200,760,3333.33,38.83
180,721,3558.72,39.68
160,681,3831.42,40.88
140,634,4166.67,42.33
120,588,4587.16,43.73
100,535,5154.64,45.64
90,507,5494.51,46.61
80,475,5917.16,48.28
70,444,6451.61,49.47
60,411,7092.2,51.01
55,394,7462.69,51.83
50,377,7874.02,52.72
45,359,8264.46,53.52
40,340,8928.57,54.58
35,319,9615.38,55.73
30,298,10416.7,56.77
25,274,11494.3,58.07
20,245,13157.9,60
15,214,15151.5,62.12
10,182,18518.5,64.15
