ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_overlap/gist1m_overlap_Q5_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_overlap/Q5_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.9935,12.3107,103949
1400,0.9925,14.2786,90398
1100,0.99,16.9765,75816
1000,0.99,17.6944,70687.8
900,0.9895,19.9561,65359.3
800,0.9895,21.913,59863.2
700,0.989,24.2925,54163.7
600,0.984,27.4085,48219.5
500,0.9775,31.6706,41947.8
400,0.973,37.8358,35301
300,0.9635,47.8354,28185.4
250,0.952,55.5556,24406.7
200,0.941,67.0916,20444.4
180,0.9355,73.0727,18818.6
160,0.9295,81.0373,17107.8
140,0.9235,91.2825,15356.9
120,0.912,104.221,13554.4
100,0.894,121.655,11700.4
90,0.8845,133.958,10738.2
80,0.8755,148.258,9756.84
70,0.8635,165.289,8774.13
60,0.845,188.501,7755.48
55,0.835,202.84,7236.9
50,0.8245,218.103,6721.52
45,0.8085,237.812,6167.37
40,0.7895,263.852,5623.67
35,0.759,294.551,5071.38
30,0.7445,330.033,4517.48
25,0.715,383.877,3942.29
20,0.6715,456.621,3349.93
15,0.618,566.572,2746.52
10,0.5435,757.576,2116.84
