ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_overlap/gist1m_overlap_Q2_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_overlap/Q2_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.9945,32.8893,39395.4
1400,0.9935,38.4394,34169.8
1100,0.9915,46.4037,28568.1
1000,0.991,49.9251,26604.8
900,0.99,54.0833,24581.7
800,0.989,59.2417,22469.8
700,0.988,65.8328,20297.3
600,0.985,74.4879,18028.7
500,0.9815,85.8369,15650.2
400,0.9725,103.199,13130.4
300,0.964,129.955,10464.2
250,0.9565,151.172,9028.94
200,0.946,181.324,7546.5
180,0.9395,198.02,6940.64
160,0.929,217.155,6299.6
140,0.92,243.309,5651.44
120,0.907,278.552,4986.7
100,0.89,324.149,4282.74
90,0.8805,355.24,3926.11
80,0.865,392.157,3564.16
70,0.8445,438.596,3201.71
60,0.818,496.278,2835.59
55,0.808,533.333,2649.05
50,0.7935,576.369,2456.01
45,0.7815,628.931,2261.03
40,0.765,692.042,2059.86
35,0.7455,766.284,1872.84
30,0.7145,858.369,1671.55
25,0.68,1000,1451.4
20,0.6365,1183.43,1236.51
15,0.578,1438.85,1030.27
10,0.5055,1886.79,799.625
