ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_overlap/gist1m_overlap_Q3_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_overlap/Q3_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.991,30.8737,42010.2
1400,0.9895,36.0036,36541.5
1100,0.9875,43.2059,30660.7
1000,0.986,46.5983,28585.3
900,0.9855,50.3778,26437.2
800,0.9845,54.5703,24213.9
700,0.9825,57.2082,21909.2
600,0.979,67.6361,19505.9
500,0.976,78.5546,16973.3
400,0.9695,93.3707,14296.1
300,0.9535,117.578,11426.1
250,0.945,130.293,9901.36
200,0.9355,151.515,8288.22
180,0.9265,164.339,7626.37
160,0.9185,181.159,6946.16
140,0.9015,204.29,6247.39
120,0.886,245.399,5517.16
100,0.8645,287.356,4771.36
90,0.855,311.526,4387.65
80,0.837,336.7,4001.66
70,0.8205,380.952,3609.47
60,0.7995,430.108,3203.8
55,0.7865,459.77,3002.03
50,0.7695,495.05,2788.49
45,0.7545,536.193,2583.47
40,0.739,586.51,2369.32
35,0.7185,647.249,2150.82
30,0.6845,729.927,1917.85
25,0.656,826.446,1698.2
20,0.6195,952.381,1476.88
15,0.556,1156.07,1227.62
10,0.4825,1503.76,965.585
