ef,recall,qps,distance_computations_per_query
/root/work/data/vecs/gist1m/gist_base.fvecs
/root/work/lssg/example/quantile_partitions/gist1m_overlap/gist1m_overlap_Q1_query.fvecs
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/gist1m_overlap/Q1_gt_12_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 6917766
All Points:: 2736267
1700,0.9955,33.2723,38979.4
1400,0.9945,38.6772,34018
1100,0.9945,46.2749,28654.7
1000,0.994,49.6648,26757.7
900,0.9945,48.7567,24801.7
800,0.9925,53.4045,22774
700,0.9915,59.312,20647
600,0.991,67.7507,18417.5
500,0.989,83.1601,16076.6
400,0.9845,99.95,13589.6
300,0.982,125.471,10895.5
250,0.976,144.928,9462.9
200,0.9725,172.117,7959.48
180,0.9695,187.617,7331.31
160,0.967,207.039,6677.11
140,0.9625,229.358,6004.93
120,0.957,260.756,5319.12
100,0.9445,301.659,4616.33
90,0.9395,327.869,4245.4
80,0.934,359.712,3863.16
70,0.9235,402.414,3484.19
60,0.912,454.545,3084.06
55,0.9045,483.092,2887.11
50,0.8935,524.934,2668.67
45,0.878,573.066,2454.65
40,0.8615,625,2248.61
35,0.8395,687.285,2032.65
30,0.8035,781.25,1810.88
25,0.775,896.861,1582.83
20,0.734,1058.2,1348.23
15,0.6735,1298.7,1110.17
10,0.588,1680.67,867.82
