L,Cmps,QPS,Recall
1700,43494,62.2859,86.35
1400,38042,71.8391,84.4
1100,32064,85.7265,82.65
1000,29950,91.7431,82.05
900,27755,98.7654,81.5
800,25414,107.411,80.65
700,22991,118.554,79.8
600,20434,131.926,78.65
500,17730,150.716,77
400,14816,176.835,74.25
300,11741,215.285,71.75
250,10130,243.309,69.3
200,8413,283.286,66.7
180,7708,303.03,65.55
160,6965,325.733,63.6
140,6228,357.143,62
120,5473,391.389,60
100,4689,436.681,57.5
90,4302,462.963,56.4
80,3889,495.049,54.65
70,3496,530.504,52.95
60,3080,574.713,50.95
55,2849,598.802,49.35
50,2648,630.915,48.2
45,2443,660.066,47.35
40,2214,699.301,44.95
35,2000,738.007,43.35
30,1776,787.402,42.25
25,1544,843.882,39.85
20,1310,913.242,36.8
15,1072,995.025,34.1
10,814,1111.11,29.8
