L,Cmps,QPS,Recall
1700,2165.00,1158.36,100.00
1400,2147.00,1241.52,100.00
1100,2108.00,1323.69,99.85
1000,2090.00,1363.64,99.70
900,2064.00,1389.46,99.50
800,2033.00,1467.06,99.45
700,1994.00,1533.99,99.20
600,1938.00,1613.66,98.65
500,1874.00,1747.45,98.45
400,1778.00,1926.20,97.75
300,1656.00,2158.76,96.65
250,1575.00,2328.13,95.75
200,1480.00,2523.86,94.30
180,1433.00,2618.45,93.40
160,1386.00,2738.29,92.25
140,1337.00,2868.79,91.35
120,1277.00,3049.63,90.15
100,1217.00,3195.06,88.90
90,1182.00,3320.04,88.50
80,1145.00,3423.71,86.60
70,1111.00,3535.54,85.90
60,1066.00,3681.18,84.70
55,1046.00,3772.22,83.15
50,1025.00,3800.65,82.30
45,1001.00,3927.47,81.80
40,981.00,3906.38,81.05
35,955.00,4104.22,80.10
30,924.00,4228.95,76.80
25,900.00,4310.28,75.20
20,871.00,4461.20,72.50
15,839.00,4621.02,69.70
10,803.00,4757.88,66.55
