L,Cmps,QPS,Recall
1700,21833,131.579,89.45
1400,19349,152.207,88.5
1100,16558,181.159,87.2
1000,15540,193.237,86.2
900,14404,210.084,84.8
800,13280,229.358,84.15
700,12089,252.525,83.35
600,10746,282.486,81.15
500,9379,325.733,79.2
400,7930,384.615,77.15
300,6277,478.469,73.6
250,5443,540.541,72.2
200,4553,638.978,69.95
180,4161,692.042,68.4
160,3784,743.494,67.25
140,3393,826.446,65.3
120,2988,917.431,63.45
100,2575,1030.93,61.8
90,2348,1111.11,60.6
80,2139,1190.48,59.3
70,1916,1298.7,57.05
60,1687,1418.44,54.8
55,1573,1492.54,54
50,1453,1574.8,52.55
45,1342,1680.67,51.8
40,1220,1785.71,49.75
35,1088,1941.75,47.4
30,963,2083.33,45.4
25,841,2272.73,43
20,711,2531.65,40.2
15,569,2857.14,36.45
10,432,3278.69,32.1
